Player,Year,FirstServe,FirstServePointsWon,Aces,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ServiceGamesPlayed,ServiceGamesWon,Wins,Losses,Earnings,Ranking
Viktor Troicki,2010,0.6,0.74,558,365,445,0.6,177,721,0.8,37,30,801338,70
Horacio Zeballos,2016,0.6,0.72,123,128,70,0.63,61,237,0.8,7,13,336460,67
Tim Smyczek,2016,0.6,0.69,101,147,116,0.59,48,234,0.74,8,10,220291,123
Viktor Troicki,2013,0.6,0.71,240,242,262,0.55,76,429,0.75,19,19,456797,70
Viktor Troicki,2017,0.6,0.73,334,343,295,0.58,162,584,0.76,24,28,880741,70
Pierre-Hugues Herbert,2013,0.6,0.7,20,19,17,0.63,10,28,0.75,1,2,91263,82
Nicolas Mahut,2013,0.6,0.78,204,98,147,0.68,79,269,0.88,17,7,385894,111
Yuki Bhambri,2012,0.6,0.67,4,7,14,0.14,4,17,0.65,4,2,40820,83
Jeremy Chardy,2016,0.6,0.75,307,254,285,0.61,195,480,0.79,17,21,656383,84
Guillermo Garcia-Lopez,2010,0.6,0.71,250,385,389,0.62,185,662,0.78,31,23,630070,68
Pere Riba,2015,0.6,0.7,4,9,0,0.56,2,14,0.71,0,2,46227,939
Ryan Harrison,2013,0.6,0.71,223,264,148,0.65,109,405,0.77,11,21,342699,54
Denis Kudla,2014,0.6,0.64,27,82,53,0.67,20,100,0.73,3,5,168077,117
Ryan Harrison,2015,0.6,0.69,68,111,77,0.6,45,169,0.74,5,8,210665,54
Steve Johnson,2017,0.6,0.76,410,286,290,0.63,177,650,0.84,30,22,933229,52
Mikhail Youzhny,2016,0.6,0.67,131,264,260,0.61,113,419,0.75,17,18,543618,97
Yen-Hsun Lu,2016,0.6,0.73,101,89,78,0.6,56,174,0.79,7,9,304610,98
Michal Przysiezny,2013,0.6,0.75,178,143,109,0.62,67,283,0.81,0,2,5754,1134
Jordan Thompson,2014,0.6,0.72,13,9,10,0.44,7,21,0.76,0,1,50526,99
Andres Molteni,2015,0.6,0.61,1,7,3,0.43,1,8,0.5,3,4,25157,1180
Laslo Djere,2017,0.6,0.66,27,76,74,0.62,28,115,0.75,7,5,139601,102
Leonardo Mayer,2009,0.6,0.75,231,199,249,0.62,91,435,0.83,17,18,293952,46
Lukas Lacko,2012,0.6,0.71,192,199,195,0.53,62,382,0.75,13,21,380645,106
Leonardo Mayer,2014,0.6,0.75,304,268,304,0.61,188,598,0.82,28,20,1046234,46
Robin Haase,2011,0.6,0.7,362,395,380,0.63,134,635,0.77,27,26,509350,44
Robin Haase,2016,0.6,0.73,224,237,226,0.61,80,416,0.78,16,22,446909,44
David Ferrer,2017,0.6,0.7,119,371,398,0.62,209,596,0.76,24,21,1046695,32
Yuichi Sugita,2013,0.6,0.58,11,41,24,0.54,15,38,0.5,2,3,67115,43
Ruben Bemelmans,2012,0.6,0.7,51,68,49,0.59,33,122,0.77,4,6,136802,108
Ruben Bemelmans,2011,0.6,0.74,18,36,26,0.67,18,58,0.79,1,5,78299,108
Pablo Cuevas,2014,0.6,0.72,166,189,234,0.58,90,365,0.78,18,12,528384,41
Michal Przysiezny,2014,0.6,0.71,183,192,122,0.6,83,299,0.74,4,3,52675,1134
Yen-Hsun Lu,2012,0.6,0.72,142,197,155,0.58,112,375,0.78,12,18,320315,98
Federico Delbonis,2013,0.6,0.71,66,137,118,0.66,60,232,0.8,12,8,299012,79
Daniel Evans,2013,0.6,0.7,43,51,50,0.59,28,85,0.75,6,4,139869,994
Pablo Cuevas,2015,0.6,0.7,310,385,337,0.65,150,661,0.8,29,26,783081,41
Steve Johnson,2012,0.6,0.75,77,62,30,0.79,35,111,0.88,3,5,119901,52
Steve Johnson,2015,0.6,0.76,620,336,385,0.62,175,807,0.84,36,28,928660,52
Mikhail Youzhny,2017,0.6,0.67,112,265,193,0.62,109,387,0.74,10,20,461711,97
Adam Pavlasek,2017,0.59,0.67,45,58,32,0.48,23,78,0.62,1,5,182241,210
Alexander Kudryavtsev,2011,0.59,0.77,9,6,10,0.5,1,17,0.82,1,1,58365,628
Daniel Evans,2016,0.59,0.7,95,150,130,0.66,81,254,0.8,9,10,390476,994
Thomaz Bellucci,2017,0.59,0.67,158,238,214,0.54,137,405,0.73,14,20,439418,224
Daniel Evans,2014,0.59,0.72,75,75,54,0.63,33,131,0.79,4,6,132420,994
Facundo Arguello,2013,0.59,0.61,3,31,25,0.55,12,37,0.62,0,1,6327,253
Lukas Lacko,2010,0.59,0.73,247,291,250,0.6,95,502,0.77,19,22,306774,106
Illya Marchenko,2010,0.59,0.69,138,288,261,0.59,133,423,0.72,18,21,303324,252
Dudi Sela,2015,0.59,0.67,47,151,119,0.61,48,216,0.73,8,10,312117,94
Dudi Sela,2010,0.59,0.68,70,209,195,0.52,91,364,0.73,16,20,255594,94
Tomas Berdych,2009,0.59,0.74,388,361,435,0.61,145,733,0.81,36,26,732540,18
Nikoloz Basilashvili,2014,0.59,0.69,4,8,8,0.5,5,15,0.73,0,1,53074,80
Mikhail Kukushkin,2016,0.59,0.65,86,255,189,0.6,40,328,0.69,13,21,418888,95
Jack Sock,2014,0.59,0.76,299,239,242,0.69,184,543,0.86,27,20,565344,17
Mikhail Kukushkin,2010,0.59,0.68,80,121,117,0.58,25,207,0.75,17,8,272648,95
Lamine Ouahab,2014,0.59,0.56,0,11,7,0.36,1,12,0.42,2,1,13810,517
Dominik Koepfer,2017,0.59,0.5,0,7,1,0.43,3,7,0.43,0,1,30235,230
Adrian Ungur,2013,0.59,0.63,15,63,14,0.48,32,82,0.6,2,9,200732,548
Daniel Evans,2017,0.59,0.72,100,150,155,0.55,74,266,0.75,13,12,405917,994
Dusan Lajovic,2010,0.59,0.72,6,10,7,0.4,3,19,0.68,0,2,17118,93
Guilherme Clezar,2016,0.59,0.66,15,22,21,0.45,12,32,0.63,0,2,90814,241
Facundo Bagnis,2015,0.59,0.64,20,43,23,0.53,16,63,0.68,2,4,123931,223
Aslan Karatsev,2013,0.59,0.61,4,20,14,0.6,6,23,0.65,0,2,28074,541
Evgeny Donskoy,2014,0.59,0.7,68,77,68,0.57,25,147,0.78,4,9,217202,87
Facundo Bagnis,2015,0.59,0.64,20,43,23,0.53,16,63,0.68,2,4,123931,223
Noah Rubin,2014,0.59,0.6,1,22,23,0.45,4,26,0.54,0,2,43866,247
Mikhail Youzhny,2015,0.59,0.67,88,226,166,0.53,107,363,0.71,9,24,406239,97
Yen-Hsun Lu,2017,0.59,0.73,120,142,182,0.55,90,290,0.78,9,14,427569,98
Malek Jaziri,2012,0.59,0.69,91,147,111,0.61,48,218,0.73,6,11,197699,85
John-Patrick Smith,2014,0.59,0.7,7,12,3,0.58,5,20,0.75,0,2,62337,238
Mitchell Krueger,2017,0.59,0.65,26,33,31,0.58,15,48,0.71,1,3,130819,219
Mikhail Kukushkin,2012,0.59,0.63,79,214,181,0.53,43,322,0.69,12,15,311080,95
Yen-Hsun Lu,2010,0.59,0.7,187,254,215,0.62,110,425,0.77,15,20,479533,98
Benjamin Becker,2014,0.59,0.74,330,315,340,0.6,156,618,0.79,27,26,618388,1051
Filip Krajinovic,2014,0.59,0.73,42,41,49,0.61,7,79,0.8,7,4,168738,27
Christian Garin,2013,0.59,0.74,6,10,15,0.7,7,23,0.87,2,4,14717,216
Jeremy Chardy,2009,0.59,0.75,536,349,393,0.62,202,732,0.82,35,28,592911,84
Di Wu,2010,0.59,0.59,1,5,1,0,2,9,0.44,0,0,3154,249
Richard Gasquet,2009,0.59,0.73,265,249,291,0.62,121,464,0.8,22,15,394186,34
Jeremy Chardy,2014,0.59,0.77,507,369,377,0.63,241,769,0.82,33,27,921069,84
Matthew Ebden,2013,0.59,0.72,84,117,106,0.53,85,183,0.7,6,11,213660,78
Frank Dancevic,2014,0.59,0.7,57,67,42,0.55,31,115,0.74,3,8,195150,328
Marinko Matosevic,2013,0.59,0.69,158,289,288,0.55,109,467,0.72,18,25,470613,338
Marinko Matosevic,2014,0.59,0.71,240,344,286,0.63,131,547,0.76,22,22,474814,338
Marinko Matosevic,2015,0.59,0.65,70,154,101,0.53,66,219,0.67,3,16,224774,338
Zhe Li,2012,0.59,0.52,0,10,1,0.5,1,8,0.38,0,1,23520,333
Edward Corrie,2013,0.59,0.69,2,14,4,0.86,5,11,0.82,0,1,26436,426
Steve Johnson,2014,0.59,0.75,321,201,205,0.62,96,487,0.84,19,20,499818,52
Alexandr Dolgopolov,2015,0.59,0.74,355,298,343,0.6,145,629,0.81,26,26,740971,53
Rhyne Williams,2012,0.59,0.76,16,14,8,0.57,4,29,0.79,0,0,7670,1443
Frances Tiafoe,2017,0.59,0.71,194,147,161,0.52,74,329,0.79,7,17,499300,56
Ryan Harrison,2017,0.59,0.72,313,289,256,0.63,142,498,0.78,19,23,780131,54
Ryan Harrison,2016,0.59,0.75,177,150,134,0.65,72,290,0.82,11,11,360724,54
Konstantin Kravchuk,2010,0.59,0.68,20,18,20,0.67,5,29,0.79,1,2,68402,323
Ryan Harrison,2014,0.59,0.7,93,112,81,0.58,59,199,0.76,5,13,213068,54
Mischa Zverev,2012,0.59,0.61,19,43,29,0.58,11,42,0.57,0,3,90283,55
Philipp Kohlschreiber,2013,0.59,0.75,359,312,331,0.66,97,691,0.85,32,25,1021927,40
Peter Gojowczyk,2012,0.59,0.57,4,17,9,0.47,4,20,0.55,0,1,72412,50
Marinko Matosevic,2011,0.59,0.66,46,89,72,0.47,33,133,0.65,2,10,122590,338
Albano Olivetti,2016,0.59,0.84,56,13,1,0.85,17,35,0.94,1,2,24846,349
Daniil Medvedev,2016,0.59,0.7,54,68,105,0.59,20,118,0.76,5,5,150271,49
Igor Sijsling,2014,0.59,0.72,221,234,214,0.58,91,422,0.77,10,28,482900,391
Igor Sijsling,2015,0.59,0.68,71,118,86,0.61,49,172,0.73,3,10,200761,391
Reda El Amrani,2017,0.59,0.76,8,11,11,0.64,13,22,0.82,4,2,10708,1182
Robin Haase,2017,0.59,0.73,394,353,393,0.6,160,657,0.79,28,30,1036254,44
Robin Haase,2015,0.59,0.69,175,230,185,0.54,87,433,0.76,15,21,434629,44
Robin Haase,2012,0.59,0.72,235,257,276,0.53,99,474,0.75,19,28,441876,44
Robin Haase,2010,0.59,0.75,119,128,116,0.63,55,225,0.79,9,12,225791,44
Denis Shapovalov,2017,0.59,0.75,203,124,141,0.63,98,291,0.84,12,13,762665,45
Ivan Dodig,2015,0.59,0.74,165,115,139,0.58,57,240,0.8,38,16,730581,407
Yoshihito Nishioka,2015,0.59,0.6,14,66,75,0.52,18,98,0.67,3,5,184356,366
Leonardo Mayer,2012,0.59,0.74,178,189,155,0.65,106,362,0.82,14,14,311278,46
Ivan Dodig,2014,0.59,0.75,322,217,246,0.6,131,451,0.81,30,22,443092,407
Ivan Dodig,2011,0.59,0.71,372,332,277,0.6,151,579,0.77,12,18,78760,407
Michal Przysiezny,2009,0.59,0.72,9,7,3,0.57,1,16,0.81,0,0,1659,1134
Philipp Kohlschreiber,2016,0.59,0.73,261,286,363,0.62,117,567,0.81,32,21,915346,40
Matthew Ebden,2014,0.59,0.69,114,221,138,0.5,162,311,0.64,5,21,310452,78
Marco Chiudinelli,2010,0.59,0.7,158,276,222,0.59,135,473,0.76,14,29,319954,464
Horacio Zeballos,2014,0.59,0.73,64,89,71,0.6,29,179,0.8,7,9,153716,67
Kevin Anderson,2016,0.59,0.77,493,208,198,0.66,167,475,0.85,17,21,636954,8
Santiago Giraldo,2016,0.59,0.7,103,162,135,0.59,39,269,0.75,11,14,311876,293
Franko Skugor,2011,0.59,0.62,8,33,15,0.64,6,33,0.64,0,3,40025,292
Austin Krajicek,2016,0.59,0.71,97,84,67,0.56,54,151,0.75,4,9,153657,291
Ante Pavic,2013,0.59,0.79,4,5,4,0.4,6,10,0.7,0,1,21726,288
Viktor Troicki,2011,0.59,0.73,466,422,463,0.61,143,698,0.76,40,26,896119,70
Daniel Altmaier,2017,0.59,0.74,40,34,20,0.62,15,60,0.78,2,3,54906,316
Lukas Rosol,2012,0.59,0.74,252,223,173,0.64,109,440,0.82,19,18,344242,284
Viktor Troicki,2009,0.59,0.71,392,457,368,0.63,147,627,0.73,32,29,694759,70
Roberto Carballes Baena,2014,0.59,0.6,10,58,46,0.59,21,71,0.66,3,3,82563,75
Daniel Munoz de la Nava,2009,0.59,0.82,9,10,13,0.2,6,24,0.67,0,2,64938,274
Daniel Gimeno-Traver,2010,0.59,0.72,247,279,256,0.65,124,493,0.8,18,25,389302,272
Vasek Pospisil,2014,0.59,0.75,392,236,229,0.62,160,537,0.83,20,23,632565,77
Matthew Ebden,2015,0.59,0.72,50,55,38,0.65,35,101,0.81,1,6,191054,78
Marco Chiudinelli,2014,0.59,0.69,18,34,23,0.65,9,54,0.78,0,4,109432,464
Nicolas Jarry,2015,0.59,0.73,36,24,16,0.75,14,42,0.86,3,2,41741,65
Rajeev Ram,2010,0.59,0.72,244,149,85,0.52,79,289,0.75,14,19,97405,1054
Reda El Amrani,2011,0.59,0.72,15,12,11,0.83,5,17,0.88,3,2,28540,1182
Borna Coric,2013,0.59,0.66,1,11,5,0.45,3,14,0.57,0,2,18700,39
Aljaz Bedene,2017,0.59,0.75,293,204,255,0.57,75,462,0.81,19,18,609483,58
Yaraslav Shyla,2015,0.59,0.72,5,6,3,0.33,4,8,0.5,0,0,8435,444
Maxime Authom,2013,0.59,0.69,4,12,9,0.67,6,19,0.79,0,1,74579,448
Borna Coric,2015,0.59,0.69,185,356,321,0.58,119,611,0.75,26,28,667986,39
Tim Puetz,2015,0.59,0.76,12,14,6,0.64,8,18,0.72,0,0,5641,310
Karen Khachanov,2014,0.59,0.6,9,27,5,0.56,7,26,0.54,0,3,32035,38
Jan-Lennard Struff,2015,0.59,0.75,204,162,133,0.57,105,307,0.77,5,19,311633,61
Juan Martin del Potro,2010,0.59,0.73,91,61,74,0.61,28,113,0.79,3,3,95273,6
Jan-Lennard Struff,2013,0.59,0.71,85,93,96,0.56,53,173,0.76,4,9,236353,61
Andreas Seppi,2013,0.59,0.71,287,415,439,0.59,168,733,0.77,30,29,929964,62
Paolo Lorenzi,2017,0.59,0.7,266,377,367,0.59,158,731,0.79,25,35,979470,63
Luke Saville,2014,0.59,0.7,24,34,20,0.65,17,51,0.76,2,2,106516,452
Ernests Gulbis,2012,0.59,0.76,328,202,194,0.61,144,399,0.8,17,18,243210,193
Tristan Lamasine,2017,0.59,0.74,9,11,4,0.82,9,16,0.88,0,2,19217,398
Donald Young,2010,0.59,0.66,33,80,46,0.56,36,108,0.68,3,6,117531,131
Elias Ymer,2017,0.59,0.69,30,62,24,0.66,19,74,0.72,4,5,123167,133
Denis Kudla,2016,0.59,0.7,157,196,148,0.56,85,324,0.73,8,20,371614,117
Kyle Edmund,2016,0.59,0.72,233,285,263,0.64,111,467,0.78,21,20,729009,23
Sergiy Stakhovsky,2012,0.59,0.71,261,269,239,0.63,123,502,0.8,16,28,339436,121
Blaz Kavcic,2012,0.59,0.63,79,160,107,0.49,71,213,0.62,6,15,199752,127
Stefan Kozlov,2017,0.59,0.67,40,78,51,0.53,45,108,0.66,2,9,173581,170
Elias Ymer,2015,0.59,0.69,40,100,68,0.57,36,155,0.72,4,9,229701,133
Alex Bolt,2017,0.59,0.67,25,14,15,0.36,7,27,0.67,5,2,52917,177
Tim Smyczek,2012,0.59,0.69,38,68,66,0.51,24,117,0.72,3,6,122918,123
Pablo Andujar,2012,0.59,0.65,78,404,382,0.53,229,582,0.67,19,29,566868,154
Peter Polansky,2017,0.59,0.67,34,60,41,0.62,20,75,0.69,2,4,208137,124
Gilles Muller,2013,0.59,0.75,112,63,40,0.57,35,119,0.77,4,8,119571,28
Peter Polansky,2014,0.59,0.65,27,55,39,0.38,29,94,0.64,2,8,138634,124
Jurgen Zopp,2017,0.59,0.74,14,10,9,0.5,5,24,0.79,1,2,47302,137
Grega Zemlja,2012,0.59,0.71,132,142,111,0.63,43,228,0.77,11,8,255276,898
Gerald Melzer,2013,0.59,0.53,3,18,4,0.56,3,17,0.53,0,2,41441,115
Andrey Kuznetsov,2015,0.59,0.69,88,148,112,0.57,48,229,0.72,10,12,293972,135
Matthias Bachinger,2011,0.59,0.72,103,89,91,0.54,45,170,0.76,4,10,176996,160
Gerald Melzer,2014,0.59,0.61,6,23,19,0.48,11,30,0.6,0,4,70145,115
Attila Balazs,2012,0.59,0.66,21,55,38,0.65,23,82,0.77,5,4,47298,184
Patrick Kypson,2017,0.59,0.55,4,11,8,0.45,3,14,0.57,0,1,55897,663
Andrey Kuznetsov,2013,0.59,0.68,133,215,190,0.6,80,321,0.73,9,19,310142,135
Andrey Kuznetsov,2012,0.59,0.73,45,62,75,0.6,29,104,0.76,2,5,128006,135
Steve Darcis,2010,0.59,0.67,32,52,57,0.48,19,96,0.72,6,6,150447,140
Rogerio Dutra Silva,2016,0.59,0.68,34,71,50,0.51,40,103,0.66,2,4,17633,125
Fabio Fognini,2011,0.59,0.66,146,426,383,0.55,226,604,0.68,25,27,589906,20
Martin Klizan,2016,0.59,0.69,126,256,221,0.62,131,349,0.72,14,15,1051513,128
Fabio Fognini,2009,0.59,0.65,136,364,299,0.53,173,502,0.66,20,26,365153,20
Pere Riba,2013,0.59,0.73,5,15,5,0.47,2,22,0.64,0,2,75180,939
Albert Ramos-Vinolas,2012,0.59,0.66,175,420,360,0.62,184,625,0.74,25,30,527948,24
Alessandro Giannessi,2014,0.59,0.65,4,12,8,0.5,2,14,0.57,0,1,30324,164
Andrey Golubev,2009,0.59,0.7,99,173,118,0.63,82,290,0.78,7,19,233672,880
Calvin Hemery,2017,0.59,0.71,3,10,2,0.8,4,10,0.8,0,1,71883,130
Andrey Golubev,2010,0.59,0.69,179,247,221,0.6,123,440,0.78,24,21,664752,880
Filip Krajinovic,2012,0.59,0.52,1,22,12,0.27,6,27,0.41,1,2,44764,27
Marcel Granollers,2009,0.59,0.68,163,334,291,0.57,112,492,0.71,16,25,331239,129
Filip Krajinovic,2009,0.59,0.56,1,12,7,0.42,1,11,0.36,0,1,22498,27
Finn Tearney,2017,0.59,0.59,3,8,8,0.5,3,11,0.64,0,3,13804,848
James Ward,2015,0.59,0.73,124,119,90,0.65,49,204,0.79,4,12,283552,798
Feliciano Lopez,2013,0.59,0.75,546,294,299,0.64,174,637,0.84,29,20,818495,30
Fabio Fognini,2010,0.59,0.66,115,360,315,0.52,188,510,0.66,16,26,375499,20
Nicolas Almagro,2009,0.59,0.75,551,326,370,0.6,136,717,0.82,30,24,778710,186
Go Soeda,2009,0.59,0.62,4,27,8,0.56,13,31,0.61,2,3,49364,138
Lamine Ouahab,2012,0.58,0.63,1,9,8,0.33,3,18,0.67,1,1,20509,517
Gianluigi Quinzi,2017,0.58,0.67,29,65,37,0.75,12,64,0.75,1,4,80602,335
Evgeny Donskoy,2015,0.58,0.73,51,71,64,0.65,32,119,0.79,6,6,206910,87
Albano Olivetti,2012,0.58,0.8,64,20,17,0.7,21,46,0.87,0,2,15383,349
Adrian Menendez-Maceiras,2015,0.58,0.7,30,42,21,0.6,16,70,0.76,1,4,127871,156
Evgeny Donskoy,2013,0.58,0.73,181,219,195,0.63,79,409,0.8,13,20,387738,87
Janko Tipsarevic,2013,0.58,0.72,261,318,266,0.68,93,532,0.81,20,24,775917,153
Luke Saville,2015,0.58,0.6,7,24,9,0.58,11,29,0.66,0,2,119936,452
Evgeny Donskoy,2011,0.58,0.73,8,12,14,0.33,5,25,0.68,0,2,72461,87
Janko Tipsarevic,2010,0.58,0.73,306,254,280,0.63,88,515,0.82,25,23,439773,153
Jaume Munar,2016,0.58,0.5,1,7,1,0.43,2,8,0.5,0,1,27969,173
Luca Vanni,2015,0.58,0.73,139,85,53,0.61,41,180,0.82,4,9,233354,324
Dmitry Tursunov,2009,0.58,0.73,191,235,188,0.65,100,374,0.78,14,17,335096,516
Evgeny Donskoy,2016,0.58,0.68,126,198,149,0.63,55,312,0.76,7,20,334631,87
Adrian Menendez-Maceiras,2012,0.58,0.61,2,10,5,0.5,5,14,0.64,0,1,65299,156
Benjamin Becker,2010,0.58,0.76,461,290,321,0.57,157,647,0.81,29,31,476648,1051
Illya Marchenko,2015,0.58,0.73,62,78,79,0.65,38,153,0.82,5,7,215865,252
Illya Marchenko,2013,0.58,0.66,13,36,21,0.56,25,50,0.68,1,4,105583,252
Jerzy Janowicz,2009,0.58,0.75,23,13,12,0.69,3,32,0.88,2,4,38894,178
Tim Smyczek,2017,0.58,0.67,38,49,57,0.37,17,97,0.68,1,7,201310,123
Sam Querrey,2012,0.58,0.8,705,313,373,0.63,236,796,0.85,37,25,783802,14
Illya Marchenko,2017,0.58,0.75,56,37,57,0.35,29,106,0.77,4,6,171388,252
Benjamin Becker,2017,0.58,0.71,16,14,12,0.29,14,30,0.67,0,3,60290,1051
Tsung-Hua Yang,2012,0.58,0.73,4,2,3,0.5,1,15,0.93,1,4,50247,254
Sam Querrey,2016,0.58,0.8,670,281,293,0.64,159,681,0.85,28,23,1008632,14
Pablo Carreno Busta,2013,0.58,0.65,39,96,92,0.47,22,159,0.68,7,7,175465,12
Stan Wawrinka,2009,0.58,0.73,330,345,399,0.66,121,606,0.81,31,20,722403,21
Noah Rubin,2017,0.58,0.68,17,20,21,0.5,9,45,0.78,1,2,105479,247
James Duckworth,2013,0.58,0.74,135,98,83,0.62,38,175,0.79,3,7,196026,1051
Di Wu,2014,0.58,0.6,4,16,17,0.5,7,27,0.7,0,1,7677,249
Grigor Dimitrov,2010,0.58,0.74,17,13,10,0.54,6,24,0.75,3,2,60301,5
Rogerio Dutra Silva,2017,0.58,0.67,140,263,254,0.57,120,387,0.71,12,11,100434,125
David Guez,2016,0.58,0.58,1,10,8,0.5,4,14,0.64,0,1,45722,268
Gilles Simon,2013,0.58,0.68,236,498,478,0.63,144,709,0.74,36,24,1034185,69
Ante Pavic,2014,0.58,0.76,97,61,37,0.59,48,105,0.76,2,6,173458,288
Christopher Eubanks,2015,0.58,0.59,5,11,2,0.64,0,8,0.5,0,1,6050,290
Kyle Edmund,2015,0.58,0.63,26,55,24,0.6,14,72,0.69,1,5,205656,23
Martin Klizan,2015,0.58,0.7,245,383,312,0.6,186,615,0.75,30,27,717474,128
Guido Pella,2013,0.58,0.67,76,153,127,0.51,57,246,0.7,7,13,251559,60
Dustin Brown,2011,0.58,0.74,147,97,84,0.6,48,180,0.78,2,10,140220,162
Franko Skugor,2010,0.58,0.73,21,26,43,0.42,9,60,0.75,3,3,59493,292
Jesse Witten,2010,0.58,0.66,12,21,9,0.52,10,34,0.71,0,2,68208,1055
Rajeev Ram,2009,0.58,0.78,128,82,81,0.72,37,178,0.87,21,13,114959,1054
Alejandro Gonzalez,2016,0.58,0.6,11,31,16,0.58,8,42,0.69,1,6,101822,308
Jan-Lennard Struff,2014,0.58,0.74,198,187,180,0.6,74,376,0.8,15,17,411560,61
Rajeev Ram,2012,0.58,0.75,82,91,79,0.62,40,163,0.79,22,16,124690,1054
Finn Tearney,2016,0.58,0.42,1,7,6,0.29,2,8,0.38,2,1,18800,848
Bradley Klahn,2011,0.58,0.62,1,5,1,0.4,4,8,0.63,0,1,16990,165
Joao Sousa,2017,0.58,0.72,234,368,337,0.6,143,643,0.77,25,32,704604,64
Rhyne Williams,2013,0.58,0.72,143,126,89,0.58,59,210,0.75,3,1,15058,1443
Joao Souza,2016,0.58,0.81,26,12,7,0.5,6,34,0.82,1,2,84753,305
Teymuraz Gabashvili,2016,0.58,0.71,139,258,232,0.62,136,384,0.74,13,22,465808,301
Joao Souza,2017,0.58,0.8,30,20,15,0.55,13,44,0.8,1,3,71630,305
Donald Young,2016,0.58,0.71,141,269,263,0.61,143,457,0.77,18,21,460910,131
Dominic Thiem,2014,0.58,0.71,193,320,339,0.6,129,555,0.77,22,23,717536,7
Andreas Seppi,2011,0.58,0.71,243,325,331,0.57,118,603,0.77,25,24,528287,62
Thiemo de Bakker,2014,0.58,0.76,104,62,68,0.6,26,130,0.81,6,8,137521,311
Marton Fucsovics,2013,0.58,0.69,11,12,15,0.5,9,23,0.74,2,3,43733,59
Kyle Edmund,2017,0.58,0.74,315,339,398,0.63,162,728,0.83,30,30,952700,23
Borna Coric,2014,0.58,0.73,82,66,83,0.65,30,143,0.84,7,6,228517,39
Philipp Kohlschreiber,2011,0.58,0.72,320,357,335,0.65,150,636,0.8,31,27,699649,40
Andrey Kuznetsov,2009,0.58,0.68,13,21,20,0.48,7,38,0.71,1,2,33502,135
Rogerio Dutra Silva,2015,0.58,0.57,9,34,14,0.56,10,31,0.52,1,2,6373,125
Vasek Pospisil,2015,0.58,0.78,496,260,222,0.67,151,617,0.86,25,23,856816,77
Ricardas Berankis,2017,0.58,0.65,37,83,84,0.49,34,148,0.72,5,7,287301,89
Daniel Gimeno-Traver,2013,0.58,0.71,229,323,276,0.59,150,514,0.75,14,27,436808,272
Daniel Gimeno-Traver,2012,0.58,0.69,95,138,108,0.59,46,212,0.74,6,12,223979,272
Andrew Whittington,2016,0.58,0.71,12,12,10,0.33,10,20,0.6,1,1,55741,273
Daniel Munoz de la Nava,2016,0.58,0.67,56,160,122,0.64,69,211,0.73,3,13,168917,274
Vasek Pospisil,2016,0.58,0.74,257,180,119,0.55,106,370,0.78,10,23,478228,77
Daniel Munoz de la Nava,2012,0.58,0.64,7,78,71,0.6,22,87,0.64,3,4,91651,274
Milos Raonic,2009,0.58,0.86,20,7,5,0.86,3,16,0.94,0,1,16973,22
Marton Fucsovics,2015,0.58,0.66,4,23,11,0.65,7,23,0.65,6,2,82030,59
James Ward,2010,0.58,0.71,28,46,25,0.65,21,59,0.73,5,5,57161,798
Aljaz Bedene,2016,0.58,0.74,281,229,219,0.59,91,418,0.77,12,19,441999,58
Gastao Elias,2011,0.58,0.75,4,8,7,0.5,5,14,0.71,0,1,43000,110
Stefanos Tsitsipas,2017,0.58,0.77,106,93,63,0.58,30,173,0.77,4,10,302951,71
Aljaz Bedene,2012,0.58,0.7,39,51,35,0.63,25,67,0.72,4,4,121222,58
Nikola Cacic,2016,0.58,0.6,2,16,7,0.5,5,23,0.65,0,0,1527,466
Aljaz Bedene,2011,0.58,0.82,18,7,6,0.43,5,19,0.79,1,2,41244,58
Dustin Brown,2017,0.58,0.71,196,177,133,0.55,145,348,0.77,10,20,449350,162
Lukas Rosol,2013,0.58,0.73,319,324,309,0.63,151,547,0.78,23,27,560873,284
Elias Ymer,2016,0.58,0.65,40,75,46,0.57,31,106,0.7,2,9,105992,133
Sam Groth,2016,0.58,0.77,275,118,68,0.6,107,218,0.78,4,16,248788,286
Diego Schwartzman,2015,0.58,0.64,88,255,242,0.52,99,386,0.68,11,22,374619,15
Josko Topic,2013,0.58,0.48,1,12,1,0.42,12,7,0,0,1,9530,1411
Steve Darcis,2011,0.58,0.7,68,106,111,0.58,49,182,0.75,9,6,184831,140
Thanasi Kokkinakis,2017,0.58,0.76,141,108,54,0.69,68,178,0.81,6,7,240108,150
Collin Altamirano,2013,0.58,0.63,3,12,0,0.42,3,12,0.42,0,1,34080,582
Jordan Thompson,2016,0.58,0.75,76,85,75,0.58,36,172,0.79,3,10,278131,99
Yen-Hsun Lu,2015,0.58,0.71,176,252,231,0.59,88,435,0.76,19,21,460007,98
Feliciano Lopez,2016,0.58,0.77,583,314,341,0.65,167,707,0.84,31,24,1068603,30
Andre Ghem,2013,0.58,0.7,3,17,9,0.65,3,18,0.67,1,1,42370,661
Jan Satral,2016,0.58,0.71,26,42,21,0.74,13,50,0.78,1,2,136064,367
Vincent Millot,2014,0.58,0.64,21,41,33,0.59,19,49,0.65,1,2,112900,220
Alexandre Muller,2017,0.58,0.68,4,20,16,0.65,5,24,0.71,0,1,61831,364
